date,MS_1,MS_2,MS_3,MS_4,MS5,MS_6,MS_7,OT
2000/1/6 12:00,110.8233403,584.812546,171.2463987,121.5789952,102.1657888,331.4976546,572.8244664,155.2253868
2000/1/6 12:01,110.7771422,588.2705942,185.7338223,122.0418988,102.1229924,343.0275688,582.0369822,157.8078116
2000/1/6 12:02,110.8155924,586.5592251,168.0482759,121.033283,102.4689355,335.7411846,588.0896262,153.2954058
2000/1/6 12:03,110.6871615,585.027306,177.5708093,120.9612667,101.9311407,344.234693,585.5852966,150.6587904
2000/1/6 12:04,110.6199331,584.3946511,171.9443639,123.2362589,102.1646319,359.5015037,579.6668524,152.246445
2000/1/6 12:05,110.6682337,585.6404334,168.0366923,121.8633678,102.1424076,334.0627055,576.8726091,156.0450521
2000/1/6 12:06,110.664011,586.0289807,169.6223865,121.7754793,101.9793153,362.510478,582.3583992,151.1323828
2000/1/6 12:07,110.6773105,585.5128557,179.7993286,123.7055181,102.1727525,344.9772156,573.1139684,163.635295
2000/1/6 12:08,110.4710519,586.3711324,167.9702175,122.8721441,101.9073265,337.0661654,571.2348749,149.9933438
2000/1/6 12:09,110.5925715,584.6110383,168.3750296,123.7475678,101.9273827,347.2181031,565.9026557,159.1266741
2000/1/6 12:10,110.7072412,585.7709859,170.7750613,122.8077284,101.8819208,331.7496855,569.9778537,152.4767088
2000/1/6 12:11,110.5360047,586.5488434,170.3447214,121.2696101,102.0546923,345.6693943,573.2682282,158.7866226
2000/1/6 12:12,110.9137833,584.7926233,167.0379682,121.517675,101.8264087,357.9468133,575.1216648,150.1430426
2000/1/6 12:13,110.7083505,585.4266526,169.1264821,120.977975,102.230746,345.7941529,578.8132263,160.8272173
2000/1/6 12:14,111.6266028,586.0342521,167.2079421,121.2135598,101.862262,345.5639907,584.5701062,149.9630928
2000/1/6 12:15,112.0086862,587.7868761,195.383595,122.5421712,101.9257873,336.548496,577.0378775,155.8295362
2000/1/6 12:16,111.9367767,586.8659414,185.3599605,120.3185524,102.1307798,339.4732281,583.358484,157.7766573
2000/1/6 12:17,111.6243077,590.1686807,173.6575374,121.7263277,102.1183432,329.2882067,582.3881331,166.6208165
2000/1/6 12:18,112.1062041,585.1836296,165.5653766,132.486981,101.9093583,341.6046511,577.0895146,151.2993084
2000/1/6 12:19,111.827412,585.2484106,173.3621554,121.149645,101.9404959,343.7425252,578.1752047,160.8268939
2000/1/6 12:20,111.8129731,586.7879899,178.8407675,121.2667497,102.1812153,336.921985,578.4875537,151.5305044
2000/1/6 12:21,111.5232405,598.2235536,170.5945859,120.4537864,102.1002607,329.2603483,572.3722634,157.158796
2000/1/6 12:22,111.8002756,588.4625405,173.0118848,122.2334969,101.9649073,318.2181314,578.5036851,153.3941614
2000/1/6 12:23,111.9215708,584.8274891,166.3955104,120.8260337,101.815818,329.9115872,576.5839164,152.7077753
2000/1/6 12:24,111.6579307,585.8987673,164.2992979,120.902241,101.8301253,334.3658454,573.524335,152.1758169
2000/1/6 12:25,111.8768196,582.4810648,164.751083,121.1443549,101.8403605,339.3469702,576.9039336,147.6387501
2000/1/6 12:26,111.8362938,583.6824131,181.8453401,120.9234107,102.1925471,332.5122328,582.1481278,157.6402476
2000/1/6 12:27,111.5714526,585.5127144,168.1989785,122.5854695,101.9741849,338.6073962,585.6468863,155.2032087
2000/1/6 12:28,111.8710579,584.282591,180.784057,123.0051894,101.9600619,339.8017983,585.8576817,152.2927881
2000/1/6 12:29,111.5042058,584.8463925,180.7667218,121.6731593,101.8083832,338.9200266,591.2689591,151.4071412
2000/1/6 12:30,111.6668669,586.4863838,171.8114648,122.4432552,101.874868,343.3875397,583.3975847,148.642084
2000/1/6 12:31,111.6960747,589.1480469,182.332109,121.9020218,101.7682196,347.2168204,591.1675468,152.5860217
2000/1/6 12:32,111.5866924,588.7774535,184.0077576,122.1825236,101.860388,343.2440888,588.1062101,154.2861488
2000/1/6 12:33,111.8259419,587.0885483,168.933495,122.9652873,102.0204624,350.5539928,588.6470238,151.417008
2000/1/6 12:34,111.7551763,585.656417,167.7624447,120.898746,102.0082615,339.2939317,591.8224482,149.1877799
2000/1/6 12:35,111.8158598,586.9455009,178.8425126,120.4725401,102.0957352,341.1993277,585.5727806,154.7778046
2000/1/6 12:36,111.6910134,586.5151304,176.767035,122.0599025,101.9036434,394.1938447,577.0504409,150.3088304
